,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,mean
"c: 1.2; k: 0.1,0.2; xy",0.8333333333333334,0.6923076923076923,0.6470588235294118,0.6666666666666666,0.75,0.7333333333333333,0.7857142857142857,0.8,0.8333333333333334,0.6666666666666666,0.7619047619047619,0.7,0.8461538461538461,0.75,0.7777777777777778,0.875,0.75,0.8,0.7777777777777778,0.6428571428571429,0.8333333333333334,0.5,0.7857142857142857,0.8,0.8333333333333334,0.6666666666666666,0.75,0.8125,0.8333333333333334,0.7272727272727273,0.5,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.8571428571428571,0.7777777777777778,0.7647058823529411,0.8461538461538461,0.8333333333333334,0.7,0.75,0.875,0.6,0.7142857142857143,0.625,0.75,0.6923076923076923,0.7142857142857143,0.8125,0.8571428571428571,0.5625,0.8125,0.751119916922056
"c: 1.2; k: 0.1,0.2; xz",0.8333333333333334,0.6153846153846154,0.7058823529411765,0.8888888888888888,0.8333333333333334,0.8666666666666667,0.8571428571428571,0.75,0.8333333333333334,1.0,0.7619047619047619,0.75,0.8461538461538461,0.75,0.7222222222222222,0.6875,0.75,0.8,0.7777777777777778,0.7857142857142857,0.7777777777777778,0.6,0.7857142857142857,0.9,0.7777777777777778,0.75,0.8333333333333334,0.8125,0.8333333333333334,0.45454545454545453,0.5,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,1.0,0.7857142857142857,0.9047619047619048,0.8888888888888888,0.7647058823529411,0.8461538461538461,0.8333333333333334,0.7,0.8,0.75,0.8,0.7857142857142857,0.875,0.75,0.8461538461538461,0.7857142857142857,0.75,0.8571428571428571,0.875,0.75,0.7897909755129007
"c: 1.2; k: 0.1,0.2; yz",0.8333333333333334,0.7692307692307693,0.6470588235294118,0.6666666666666666,0.8333333333333334,0.7333333333333333,0.7857142857142857,0.85,0.8333333333333334,0.6666666666666666,0.8095238095238095,0.8,0.8461538461538461,0.75,0.7777777777777778,0.8125,0.75,0.8,0.7777777777777778,0.6428571428571429,0.7777777777777778,0.6,0.7857142857142857,0.7,0.8888888888888888,0.6666666666666666,0.75,0.8125,0.75,0.7272727272727273,0.5,0.7777777777777778,0.8333333333333334,0.75,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.8095238095238095,0.8888888888888888,0.7647058823529411,0.8461538461538461,0.8333333333333334,0.7,0.75,0.75,0.5,0.8571428571428571,0.625,0.8125,0.6923076923076923,0.7142857142857143,0.75,0.8571428571428571,0.625,0.75,0.7531209714231104
"c: 1.2; k: 0.1,0.2; xyz",0.8333333333333334,0.6923076923076923,0.6470588235294118,0.6666666666666666,0.75,0.7333333333333333,0.7857142857142857,0.8,0.8333333333333334,0.6666666666666666,0.7619047619047619,0.7,0.8461538461538461,0.75,0.7777777777777778,0.875,0.75,0.8,0.7777777777777778,0.6428571428571429,0.8333333333333334,0.5,0.7857142857142857,0.8,0.8333333333333334,0.6666666666666666,0.75,0.8125,0.8333333333333334,0.7272727272727273,0.5,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.8571428571428571,0.7777777777777778,0.7647058823529411,0.8461538461538461,0.8333333333333334,0.7,0.75,0.875,0.6,0.7142857142857143,0.625,0.75,0.6923076923076923,0.7142857142857143,0.8125,0.8571428571428571,0.5625,0.8125,0.751119916922056
"c: 1.2; k: 0.2,0.3; x",0.6666666666666666,0.6153846153846154,0.6470588235294118,0.8888888888888888,0.8333333333333334,0.8666666666666667,0.8571428571428571,0.8,0.8333333333333334,1.0,0.7619047619047619,0.8,0.8461538461538461,0.85,0.7222222222222222,0.8125,0.75,0.8,0.7777777777777778,0.7857142857142857,0.7777777777777778,0.6,0.7142857142857143,0.8,0.7777777777777778,0.6666666666666666,0.75,0.8125,0.8333333333333334,0.6363636363636364,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.7857142857142857,0.8571428571428571,0.8888888888888888,0.8823529411764706,0.8461538461538461,0.8333333333333334,0.8,0.8,1.0,0.7,0.7857142857142857,0.875,0.75,0.7692307692307693,0.7857142857142857,0.875,0.8571428571428571,0.9375,0.75,0.8026486303357961
"c: 1.2; k: 0.2,0.3; y",0.8333333333333334,0.7692307692307693,0.6470588235294118,0.5555555555555556,0.8333333333333334,0.7333333333333333,0.7142857142857143,0.85,0.8333333333333334,0.6666666666666666,0.8095238095238095,0.75,0.6153846153846154,0.8,0.7222222222222222,0.8125,0.75,0.8,0.7777777777777778,0.7142857142857143,0.7777777777777778,0.6,0.7857142857142857,0.6,0.8333333333333334,0.6666666666666666,0.75,0.8125,0.75,0.6363636363636364,0.5,0.7777777777777778,0.8333333333333334,0.75,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.7142857142857143,0.8888888888888888,0.8235294117647058,0.7692307692307693,0.75,0.7,0.75,0.875,0.5,0.8571428571428571,0.625,0.8125,0.7692307692307693,0.7857142857142857,0.75,0.7857142857142857,0.6875,0.75,0.7426455451856521
"c: 1.2; k: 0.2,0.3; z",0.8333333333333334,0.6923076923076923,0.7058823529411765,0.8888888888888888,0.8333333333333334,0.7333333333333333,0.7857142857142857,0.8,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.85,0.8461538461538461,0.8,0.7222222222222222,0.6875,0.75,0.8,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.6,0.8571428571428571,0.7,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.6666666666666666,0.7272727272727273,0.75,0.7222222222222222,0.8333333333333334,0.6666666666666666,0.75,0.8571428571428571,0.8571428571428571,0.9047619047619048,1.0,0.8235294117647058,0.8461538461538461,0.8333333333333334,0.8,0.75,0.625,0.7,0.8571428571428571,0.75,0.875,0.8461538461538461,0.7142857142857143,0.8125,0.8571428571428571,0.75,0.75,0.7796348007310574
"c: 1.2; k: 0.2,0.3; xy",0.8333333333333334,0.6923076923076923,0.6470588235294118,0.5555555555555556,0.75,0.7333333333333333,0.7857142857142857,0.8,0.8333333333333334,0.6666666666666666,0.7619047619047619,0.7,0.7692307692307693,0.75,0.7777777777777778,0.875,0.75,0.8,0.7777777777777778,0.6428571428571429,0.8333333333333334,0.5,0.7857142857142857,0.7,0.8333333333333334,0.6666666666666666,0.75,0.8125,0.8333333333333334,0.7272727272727273,0.5,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.8095238095238095,0.7777777777777778,0.7647058823529411,0.7692307692307693,0.8333333333333334,0.7,0.75,0.875,0.6,0.7142857142857143,0.625,0.75,0.7692307692307693,0.7142857142857143,0.8125,0.8571428571428571,0.5625,0.8125,0.7450171308192699
"c: 1.2; k: 0.2,0.3; xz",0.8333333333333334,0.6153846153846154,0.7058823529411765,0.8888888888888888,0.8333333333333334,0.8666666666666667,0.8571428571428571,0.75,0.8333333333333334,1.0,0.7619047619047619,0.75,0.8461538461538461,0.75,0.7222222222222222,0.6875,0.75,0.8,0.7777777777777778,0.7857142857142857,0.7777777777777778,0.6,0.7857142857142857,0.9,0.7777777777777778,0.75,0.8333333333333334,0.8125,0.8333333333333334,0.45454545454545453,0.5,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,1.0,0.7857142857142857,0.9047619047619048,0.8888888888888888,0.7647058823529411,0.8461538461538461,0.8333333333333334,0.7,0.8,0.75,0.8,0.7857142857142857,0.875,0.75,0.8461538461538461,0.7857142857142857,0.75,0.8571428571428571,0.875,0.75,0.7897909755129007
"c: 1.2; k: 0.2,0.3; yz",0.8333333333333334,0.7692307692307693,0.6470588235294118,0.5555555555555556,0.8333333333333334,0.7333333333333333,0.7857142857142857,0.85,0.8333333333333334,0.6666666666666666,0.8095238095238095,0.8,0.7692307692307693,0.75,0.7777777777777778,0.8125,0.75,0.8,0.7777777777777778,0.6428571428571429,0.7777777777777778,0.6,0.7857142857142857,0.7,0.8888888888888888,0.6666666666666666,0.75,0.8125,0.75,0.7272727272727273,0.5,0.7777777777777778,0.8333333333333334,0.75,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.7619047619047619,0.8888888888888888,0.7647058823529411,0.7692307692307693,0.8333333333333334,0.7,0.75,0.75,0.5,0.8571428571428571,0.625,0.8125,0.7692307692307693,0.7142857142857143,0.75,0.8571428571428571,0.625,0.75,0.7488363671385062
"c: 1.2; k: 0.2,0.3; xyz",0.8333333333333334,0.6923076923076923,0.6470588235294118,0.5555555555555556,0.75,0.7333333333333333,0.7857142857142857,0.8,0.8333333333333334,0.6666666666666666,0.7619047619047619,0.7,0.7692307692307693,0.75,0.7777777777777778,0.875,0.75,0.8,0.7777777777777778,0.6428571428571429,0.8333333333333334,0.5,0.7857142857142857,0.7,0.8333333333333334,0.6666666666666666,0.75,0.8125,0.8333333333333334,0.7272727272727273,0.5,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.8095238095238095,0.7777777777777778,0.7647058823529411,0.7692307692307693,0.8333333333333334,0.7,0.75,0.875,0.6,0.7142857142857143,0.625,0.75,0.7692307692307693,0.7142857142857143,0.8125,0.8571428571428571,0.5625,0.8125,0.7450171308192699
"c: 1.2; k: 0.3,0.4; x",0.6666666666666666,0.6153846153846154,0.6470588235294118,0.8888888888888888,0.8333333333333334,0.8666666666666667,0.8571428571428571,0.8,1.0,1.0,0.7619047619047619,0.8,0.8461538461538461,0.85,0.7222222222222222,0.75,0.75,0.8,0.7777777777777778,0.7857142857142857,0.7777777777777778,0.6,0.7142857142857143,0.8,0.7777777777777778,0.6666666666666666,0.75,0.8125,0.8333333333333334,0.6363636363636364,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.7857142857142857,0.8571428571428571,0.8888888888888888,0.8823529411764706,0.8461538461538461,0.8333333333333334,0.8,0.8,1.0,0.7,0.7857142857142857,0.875,0.75,0.7692307692307693,0.7857142857142857,0.875,0.8571428571428571,0.9375,0.75,0.8045425697297355
"c: 1.2; k: 0.3,0.4; y",0.8333333333333334,0.7692307692307693,0.6470588235294118,0.5555555555555556,0.8333333333333334,0.7333333333333333,0.7142857142857143,0.85,0.8333333333333334,0.6666666666666666,0.8095238095238095,0.75,0.6153846153846154,0.8,0.7222222222222222,0.8125,0.75,0.8,0.7777777777777778,0.7142857142857143,0.7777777777777778,0.6,0.7857142857142857,0.6,0.8333333333333334,0.6666666666666666,0.75,0.8125,0.75,0.6363636363636364,0.5,0.7777777777777778,0.8333333333333334,0.75,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.7142857142857143,0.8888888888888888,0.8235294117647058,0.7692307692307693,0.75,0.7,0.75,0.875,0.5,0.8571428571428571,0.625,0.8125,0.7692307692307693,0.7857142857142857,0.75,0.7857142857142857,0.6875,0.75,0.7426455451856521
"c: 1.2; k: 0.3,0.4; z",0.8333333333333334,0.6923076923076923,0.7058823529411765,0.8888888888888888,0.8333333333333334,0.7333333333333333,0.7857142857142857,0.8,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.85,0.8461538461538461,0.8,0.7222222222222222,0.6875,0.75,0.8,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.6,0.8571428571428571,0.7,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.6666666666666666,0.7272727272727273,0.75,0.7222222222222222,0.8333333333333334,0.6666666666666666,0.75,0.8571428571428571,0.8571428571428571,0.9047619047619048,1.0,0.8235294117647058,0.8461538461538461,0.8333333333333334,0.8,0.75,0.625,0.7,0.8571428571428571,0.75,0.875,0.8461538461538461,0.7142857142857143,0.8125,0.8571428571428571,0.75,0.75,0.7796348007310574
"c: 1.2; k: 0.3,0.4; xy",0.8333333333333334,0.6923076923076923,0.6470588235294118,0.5555555555555556,0.75,0.7333333333333333,0.7857142857142857,0.8,0.8333333333333334,0.6666666666666666,0.7619047619047619,0.7,0.7692307692307693,0.75,0.7777777777777778,0.875,0.75,0.8,0.7777777777777778,0.6428571428571429,0.8333333333333334,0.5,0.7857142857142857,0.7,0.8333333333333334,0.6666666666666666,0.75,0.8125,0.8333333333333334,0.7272727272727273,0.5,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.8095238095238095,0.7777777777777778,0.7647058823529411,0.7692307692307693,0.8333333333333334,0.7,0.75,0.875,0.6,0.7142857142857143,0.625,0.75,0.7692307692307693,0.7142857142857143,0.8125,0.8571428571428571,0.5625,0.8125,0.7450171308192699
"c: 1.2; k: 0.3,0.4; xz",0.8333333333333334,0.6153846153846154,0.7058823529411765,0.8888888888888888,0.8333333333333334,0.8666666666666667,0.8571428571428571,0.8,1.0,1.0,0.7619047619047619,0.75,0.8461538461538461,0.75,0.7222222222222222,0.625,0.75,0.8,0.7777777777777778,0.7857142857142857,0.7777777777777778,0.6,0.7857142857142857,0.9,0.7777777777777778,0.75,0.8333333333333334,0.8125,0.8333333333333334,0.45454545454545453,0.5,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,0.8571428571428571,0.7857142857142857,0.9047619047619048,0.8888888888888888,0.7647058823529411,0.8461538461538461,0.8333333333333334,0.7,0.8,0.625,0.8,0.7857142857142857,0.875,0.75,0.8461538461538461,0.7857142857142857,0.75,0.8571428571428571,0.875,0.75,0.7877238759458011
"c: 1.2; k: 0.3,0.4; yz",0.8333333333333334,0.7692307692307693,0.6470588235294118,0.5555555555555556,0.8333333333333334,0.7333333333333333,0.7857142857142857,0.85,0.8333333333333334,0.6666666666666666,0.8095238095238095,0.8,0.7692307692307693,0.75,0.7777777777777778,0.8125,0.75,0.8,0.7777777777777778,0.6428571428571429,0.7777777777777778,0.6,0.7857142857142857,0.7,0.8888888888888888,0.6666666666666666,0.75,0.8125,0.75,0.7272727272727273,0.5,0.7777777777777778,0.8333333333333334,0.75,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.7619047619047619,0.8888888888888888,0.7647058823529411,0.7692307692307693,0.8333333333333334,0.7,0.75,0.75,0.5,0.8571428571428571,0.625,0.8125,0.7692307692307693,0.7142857142857143,0.75,0.8571428571428571,0.625,0.75,0.7488363671385062
"c: 1.2; k: 0.3,0.4; xyz",0.8333333333333334,0.6923076923076923,0.6470588235294118,0.5555555555555556,0.75,0.7333333333333333,0.7857142857142857,0.8,0.8333333333333334,0.6666666666666666,0.7619047619047619,0.7,0.7692307692307693,0.75,0.7777777777777778,0.875,0.75,0.8,0.7777777777777778,0.6428571428571429,0.8333333333333334,0.5,0.7857142857142857,0.7,0.8333333333333334,0.6666666666666666,0.75,0.8125,0.8333333333333334,0.7272727272727273,0.5,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.8095238095238095,0.7777777777777778,0.7647058823529411,0.7692307692307693,0.8333333333333334,0.7,0.75,0.875,0.6,0.7142857142857143,0.625,0.75,0.7692307692307693,0.7142857142857143,0.8125,0.8571428571428571,0.5625,0.8125,0.7450171308192699
"c: 1.2; k: 0.4,0.5; x",0.6666666666666666,0.6153846153846154,0.6470588235294118,0.8888888888888888,0.8333333333333334,0.8666666666666667,0.7857142857142857,0.8,1.0,1.0,0.7619047619047619,0.8,0.8461538461538461,0.8,0.7222222222222222,0.75,0.75,0.8,0.7777777777777778,0.7857142857142857,0.7777777777777778,0.6,0.7142857142857143,0.8,0.7777777777777778,0.6666666666666666,0.75,0.8125,0.8333333333333334,0.6363636363636364,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.7857142857142857,0.8571428571428571,0.8888888888888888,0.8823529411764706,0.8461538461538461,0.8333333333333334,0.8,0.8,0.875,0.7,0.7857142857142857,0.875,0.75,0.7692307692307693,0.7857142857142857,0.875,0.8571428571428571,0.9375,0.75,0.8000620502492161
"c: 1.2; k: 0.4,0.5; y",0.8333333333333334,0.6923076923076923,0.7058823529411765,0.8888888888888888,0.8333333333333334,0.7333333333333333,0.7142857142857143,0.85,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.8,0.6923076923076923,0.8,0.7777777777777778,0.8125,0.8125,0.85,0.7777777777777778,0.7857142857142857,0.7777777777777778,0.6,0.7857142857142857,0.6,0.8333333333333334,0.6666666666666666,0.75,0.8125,0.75,0.6363636363636364,1.0,0.7777777777777778,0.8333333333333334,0.75,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.8095238095238095,0.8888888888888888,0.8235294117647058,0.8461538461538461,0.75,0.8,0.8,0.75,0.6,0.8571428571428571,0.75,0.8125,0.8461538461538461,0.8571428571428571,0.8125,0.7857142857142857,0.8125,0.8125,0.7768838395710053
"c: 1.2; k: 0.4,0.5; z",1.0,0.6923076923076923,0.7647058823529411,0.8888888888888888,0.8333333333333334,0.7333333333333333,0.7857142857142857,0.8,0.8333333333333334,0.6666666666666666,0.8095238095238095,0.8,0.8461538461538461,0.8,0.6666666666666666,0.6875,0.75,0.75,0.5555555555555556,0.6428571428571429,0.7777777777777778,0.7,0.9285714285714286,0.8,0.8888888888888888,0.9166666666666666,0.8333333333333334,0.875,0.6666666666666666,0.8181818181818182,0.75,0.7222222222222222,0.8333333333333334,0.6666666666666666,0.75,0.8571428571428571,0.7857142857142857,0.9047619047619048,1.0,0.8235294117647058,0.7692307692307693,0.8333333333333334,0.8,0.8,0.625,0.7,0.8571428571428571,0.75,0.875,0.8461538461538461,0.6428571428571429,0.8125,0.8571428571428571,0.75,0.75,0.786788336440743
"c: 1.2; k: 0.4,0.5; xy",0.6666666666666666,0.6923076923076923,0.6470588235294118,0.7777777777777778,0.6666666666666666,0.7333333333333333,0.7142857142857143,0.8,0.8333333333333334,0.6666666666666666,0.7619047619047619,0.7,0.7692307692307693,0.75,0.7777777777777778,0.875,0.75,0.8,0.7777777777777778,0.6428571428571429,0.8333333333333334,0.6,0.7857142857142857,0.8,0.7777777777777778,0.6666666666666666,0.75,0.8125,0.8333333333333334,0.7272727272727273,0.75,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5714285714285714,0.7857142857142857,0.8571428571428571,0.8888888888888888,0.7058823529411765,0.8461538461538461,0.8333333333333334,0.7,0.65,1.0,0.7,0.7142857142857143,0.75,0.75,0.8461538461538461,0.7857142857142857,0.75,0.8571428571428571,0.625,0.8125,0.7608429389980191
