input,target,start_coords.x,start_coords.y,start_coords.z,g.already_seen,i.already_seen,p.already_seen,5.already_seen,m.already_seen,b.already_seen,dish_3.already_seen,e.already_seen,a.already_seen,silverware_1.already_seen,glass_3.already_seen,u.already_seen,v.already_seen,z.already_seen,j.already_seen,silverware_3.already_seen,silverware_2.already_seen,r.already_seen,q.already_seen,f.already_seen,2.already_seen,x.already_seen,c.already_seen,bowl_3.already_seen,w.already_seen,6.already_seen,y.already_seen,t.already_seen,1.already_seen,o.already_seen,8.already_seen,n.already_seen,k.already_seen,9.already_seen,plate_1.already_seen,7.already_seen,bowl_1.already_seen,0.already_seen,h.already_seen,s.already_seen,d.already_seen,4.already_seen,3.already_seen,dish_2.already_seen,coordinates_p.x,coordinates_p.y,coordinates_p.z,p.containment,p.food_k,p.strong_k,p.mid_k,coordinates_o.x,coordinates_o.y,coordinates_o.z,o.containment,o.food_k,o.strong_k,o.mid_k,coordinates_c.x,coordinates_c.y,coordinates_c.z,c.containment,c.food_k,c.strong_k,c.mid_k,coordinates_g.x,coordinates_g.y,coordinates_g.z,g.containment,g.food_k,g.strong_k,g.mid_k,coordinates_k.x,coordinates_k.y,coordinates_k.z,k.containment,k.food_k,k.strong_k,k.mid_k,coordinates_r.x,coordinates_r.y,coordinates_r.z,r.containment,r.food_k,r.strong_k,r.mid_k,coordinates_w.x,coordinates_w.y,coordinates_w.z,w.containment,w.food_k,w.strong_k,w.mid_k,coordinates_f.x,coordinates_f.y,coordinates_f.z,f.containment,f.food_k,f.strong_k,f.mid_k,coordinates_s.x,coordinates_s.y,coordinates_s.z,s.containment,s.food_k,s.strong_k,s.mid_k,coordinates_t.x,coordinates_t.y,coordinates_t.z,t.containment,t.food_k,t.strong_k,t.mid_k,coordinates_e.x,coordinates_e.y,coordinates_e.z,e.containment,e.food_k,e.strong_k,e.mid_k,coordinates_n.x,coordinates_n.y,coordinates_n.z,n.containment,n.food_k,n.strong_k,n.mid_k,coordinates_z.x,coordinates_z.y,coordinates_z.z,z.containment,z.food_k,z.strong_k,z.mid_k,coordinates_m.x,coordinates_m.y,coordinates_m.z,m.containment,m.food_k,m.strong_k,m.mid_k,coordinates_x.x,coordinates_x.y,coordinates_x.z,x.containment,x.food_k,x.strong_k,x.mid_k,coordinates_i.x,coordinates_i.y,coordinates_i.z,i.containment,i.food_k,i.strong_k,i.mid_k,coordinates_h.x,coordinates_h.y,coordinates_h.z,h.containment,h.food_k,h.strong_k,h.mid_k,coordinates_b.x,coordinates_b.y,coordinates_b.z,b.containment,b.food_k,b.strong_k,b.mid_k,coordinates_a.x,coordinates_a.y,coordinates_a.z,a.containment,a.food_k,a.strong_k,a.mid_k,coordinates_d.x,coordinates_d.y,coordinates_d.z,d.containment,d.food_k,d.strong_k,d.mid_k,coordinates_u.x,coordinates_u.y,coordinates_u.z,u.containment,u.food_k,u.strong_k,u.mid_k,coordinates_q.x,coordinates_q.y,coordinates_q.z,q.containment,q.food_k,q.strong_k,q.mid_k,coordinates_v.x,coordinates_v.y,coordinates_v.z,v.containment,v.food_k,v.strong_k,v.mid_k,coordinates_y.x,coordinates_y.y,coordinates_y.z,y.containment,y.food_k,y.strong_k,y.mid_k,coordinates_0.x,coordinates_0.y,coordinates_0.z,0.containment,0.food_k,0.strong_k,0.mid_k,coordinates_silverware_3.x,coordinates_silverware_3.y,coordinates_silverware_3.z,silverware_3.containment,silverware_3.food_k,silverware_3.strong_k,silverware_3.mid_k,coordinates_2.x,coordinates_2.y,coordinates_2.z,2.containment,2.food_k,2.strong_k,2.mid_k,coordinates_3.x,coordinates_3.y,coordinates_3.z,3.containment,3.food_k,3.strong_k,3.mid_k,coordinates_4.x,coordinates_4.y,coordinates_4.z,4.containment,4.food_k,4.strong_k,4.mid_k,coordinates_5.x,coordinates_5.y,coordinates_5.z,5.containment,5.food_k,5.strong_k,5.mid_k,coordinates_1.x,coordinates_1.y,coordinates_1.z,1.containment,1.food_k,1.strong_k,1.mid_k,coordinates_plate_1.x,coordinates_plate_1.y,coordinates_plate_1.z,plate_1.containment,plate_1.food_k,plate_1.strong_k,plate_1.mid_k,coordinates_6.x,coordinates_6.y,coordinates_6.z,6.containment,6.food_k,6.strong_k,6.mid_k,coordinates_glass_3.x,coordinates_glass_3.y,coordinates_glass_3.z,glass_3.containment,glass_3.food_k,glass_3.strong_k,glass_3.mid_k,coordinates_7.x,coordinates_7.y,coordinates_7.z,7.containment,7.food_k,7.strong_k,7.mid_k,coordinates_8.x,coordinates_8.y,coordinates_8.z,8.containment,8.food_k,8.strong_k,8.mid_k,coordinates_silverware_2.x,coordinates_silverware_2.y,coordinates_silverware_2.z,silverware_2.containment,silverware_2.food_k,silverware_2.strong_k,silverware_2.mid_k,coordinates_silverware_1.x,coordinates_silverware_1.y,coordinates_silverware_1.z,silverware_1.containment,silverware_1.food_k,silverware_1.strong_k,silverware_1.mid_k,coordinates_bowl_1.x,coordinates_bowl_1.y,coordinates_bowl_1.z,bowl_1.containment,bowl_1.food_k,bowl_1.strong_k,bowl_1.mid_k,coordinates_j.x,coordinates_j.y,coordinates_j.z,j.containment,j.food_k,j.strong_k,j.mid_k,coordinates_dish_2.x,coordinates_dish_2.y,coordinates_dish_2.z,dish_2.containment,dish_2.food_k,dish_2.strong_k,dish_2.mid_k,coordinates_bowl_3.x,coordinates_bowl_3.y,coordinates_bowl_3.z,bowl_3.containment,bowl_3.food_k,bowl_3.strong_k,bowl_3.mid_k,coordinates_dish_3.x,coordinates_dish_3.y,coordinates_dish_3.z,dish_3.containment,dish_3.food_k,dish_3.strong_k,dish_3.mid_k,coordinates_9.x,coordinates_9.y,coordinates_9.z,9.containment,9.food_k,9.strong_k,9.mid_k
p,f,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.500441,0.743324,0.5217109999999999,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.251825,0.744246,0.557668,False,False,False,False,0.146585,0.7467189999999999,0.516146,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,k,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.500441,0.743324,0.5217109999999999,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.251825,0.744246,0.557668,False,False,False,False,0.146585,0.7467189999999999,0.516146,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,s,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.500441,0.743324,0.5217109999999999,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.251825,0.744246,0.557668,False,False,False,False,0.146585,0.7467189999999999,0.516146,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,o,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.500441,0.743324,0.5217109999999999,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.251825,0.744246,0.557668,False,False,False,False,0.146585,0.7467189999999999,0.516146,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,r,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.500441,0.743324,0.5217109999999999,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.251825,0.744246,0.557668,False,False,False,False,0.146585,0.7467189999999999,0.516146,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<start>,p,-0.451354,-0.413918,0.156247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.606068,0.743321,0.524829,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.20802600000000002,0.7442439999999999,0.557671,False,False,False,False,0.071911,0.746328,0.519848,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,w,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.606068,0.743321,0.524829,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.20802600000000002,0.7442439999999999,0.557671,False,False,False,False,0.071911,0.746328,0.519848,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,f,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.606068,0.743321,0.524829,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.20802600000000002,0.7442439999999999,0.557671,False,False,False,False,0.071911,0.746328,0.519848,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,k,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.606068,0.743321,0.524829,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.20802600000000002,0.7442439999999999,0.557671,False,False,False,False,0.071911,0.746328,0.519848,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,s,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.606068,0.743321,0.524829,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.20802600000000002,0.7442439999999999,0.557671,False,False,False,False,0.071911,0.746328,0.519848,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,o,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.606068,0.743321,0.524829,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.20802600000000002,0.7442439999999999,0.557671,False,False,False,False,0.071911,0.746328,0.519848,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,r,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.606068,0.743321,0.524829,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.20802600000000002,0.7442439999999999,0.557671,False,False,False,False,0.071911,0.746328,0.519848,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,c,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,,,,,,,,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.606068,0.743321,0.524829,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.20802600000000002,0.7442439999999999,0.557671,False,False,False,False,0.071911,0.746328,0.519848,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<start>,p,-0.451354,-0.413918,0.156247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,-0.7159989999999999,1.23301,0.469001,False,False,False,False,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.606068,0.743321,0.524829,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.20802600000000002,0.7442439999999999,0.557671,False,False,False,False,0.10966,0.7466,0.505875,False,False,False,False,,,,,,,,-0.7940520000000001,0.7428739999999999,0.503884,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,o,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,-0.7159989999999999,1.23301,0.469001,False,False,False,False,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.606068,0.743321,0.524829,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.20802600000000002,0.7442439999999999,0.557671,False,False,False,False,0.10966,0.7466,0.505875,False,False,False,False,,,,,,,,-0.7940520000000001,0.7428739999999999,0.503884,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,c,0.513,-0.531,0.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008041,0.9296049999999999,0.68902,False,False,False,True,-0.18499200000000002,0.915077,0.481025,False,False,False,True,-0.66,0.9232809999999999,0.438,False,False,False,False,-0.7159989999999999,1.23301,0.469001,False,False,False,False,-0.07699199999999999,0.733425,0.531662,False,False,False,False,-0.606068,0.743321,0.524829,False,False,False,False,-0.05700499999999999,1.35572,0.46601800000000004,False,False,False,False,-0.20802600000000002,0.7442439999999999,0.557671,False,False,False,False,0.10966,0.7466,0.505875,False,False,False,False,,,,,,,,-0.7940520000000001,0.7428739999999999,0.503884,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
