,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,mean
"c: 1.2; k: 0.1,0.2; xy",0.6,1.0,0.25,0.6666666666666666,0.8571428571428571,0.25,0.6,0.5,0.6,0.7777777777777778,0.5,0.875,0.8333333333333334,0.4,1.0,0.8,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.75,1.0,0.7142857142857143,0.7857142857142857,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7777777777777778,0.7142857142857143,0.75,0.8,0.8,0.25,0.7,0.6666666666666666,0.42857142857142855,0.8333333333333334,0.42857142857142855,1.0,0.6,0.3333333333333333,0.8,0.6666666666666666,1.0,0.875,0.3333333333333333,0.8,0.42857142857142855,0.6,0.5,0.75,0.8,1.0,0.4,0.6666666666666666,1.0,0.6666666666666666,0.8571428571428571,0.6,0.8,0.0,0.8888888888888888,0.0,0.6,0.5,0.5,0.42857142857142855,0.7692307692307693,0.8,0.0,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.7142857142857143,1.0,0.6666666666666666,0.8,0.5,0.5714285714285714,0.6666666666666666,0.651470543345543
"c: 1.2; k: 0.1,0.2; xz",0.8,0.6666666666666666,1.0,0.7777777777777778,0.8571428571428571,0.5,1.0,0.75,1.0,0.8888888888888888,1.0,0.625,0.8333333333333334,0.8,1.0,0.8,0.7777777777777778,0.6666666666666666,0.8571428571428571,0.8333333333333334,0.75,0.75,1.0,0.8571428571428571,0.3333333333333333,0.6666666666666666,1.0,0.5555555555555556,1.0,0.5,0.8,1.0,0.5,0.9,1.0,0.7142857142857143,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.8,0.6666666666666666,0.2,1.0,1.0,0.875,0.6666666666666666,0.4,0.8571428571428571,1.0,0.75,0.5,0.8,0.42857142857142855,0.8,0.8333333333333334,0.7142857142857143,1.0,0.7142857142857143,0.8,0.8,0.75,0.8888888888888888,0.0,0.8,1.0,1.0,0.8571428571428571,0.8461538461538461,0.2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.7142857142857143,1.0,0.8888888888888888,0.8,0.75,1.0,0.6666666666666666,0.7738705738705735
"c: 1.2; k: 0.1,0.2; yz",0.6,1.0,0.5,0.7777777777777778,0.8571428571428571,0.5,0.6,0.5,0.6,0.6666666666666666,0.5,0.875,0.6666666666666666,0.6,0.75,0.8,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.875,1.0,0.8571428571428571,0.7857142857142857,0.6666666666666666,0.8333333333333334,0.5,0.8888888888888888,0.7142857142857143,0.75,0.8,0.7,0.25,0.7,0.5,0.5714285714285714,0.6666666666666666,0.42857142857142855,0.8333333333333334,0.6,0.3333333333333333,0.8,0.5,0.75,0.875,0.3333333333333333,0.8,0.5714285714285714,0.6,0.5,1.0,0.8,1.0,0.4,0.6666666666666666,1.0,0.5,1.0,0.6,0.6,0.25,0.8888888888888888,0.5,0.6,0.5,0.5,0.42857142857142855,0.9230769230769231,0.8,0.0,0.8333333333333334,0.3333333333333333,0.8571428571428571,0.5714285714285714,0.75,0.8888888888888888,0.8,0.5,0.7142857142857143,0.6666666666666666,0.6618906440781439
"c: 1.2; k: 0.1,0.2; xyz",0.6,1.0,0.25,0.6666666666666666,0.8571428571428571,0.25,0.6,0.5,0.6,0.7777777777777778,0.5,0.875,0.8333333333333334,0.4,1.0,0.8,0.5555555555555556,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.75,1.0,0.7142857142857143,0.7857142857142857,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7777777777777778,0.7142857142857143,0.75,0.8,0.7,0.25,0.7,0.6666666666666666,0.42857142857142855,0.8333333333333334,0.42857142857142855,1.0,0.6,0.3333333333333333,0.8,0.6666666666666666,1.0,0.875,0.3333333333333333,0.8,0.42857142857142855,0.6,0.5,0.75,0.8,1.0,0.4,0.6666666666666666,1.0,0.6666666666666666,0.8571428571428571,0.6,0.8,0.0,0.8888888888888888,0.0,0.6,0.5,0.5,0.42857142857142855,0.7692307692307693,0.8,0.0,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.7142857142857143,1.0,0.6666666666666666,0.8,0.5,0.5714285714285714,0.6666666666666666,0.6516094322344319
"c: 1.2; k: 0.2,0.3; x",0.8,0.6666666666666666,0.25,0.7777777777777778,0.7142857142857143,0.5,0.8,0.75,1.0,0.8888888888888888,1.0,0.625,0.8333333333333334,0.8,0.5,0.6,0.7777777777777778,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.75,0.75,1.0,0.8571428571428571,0.16666666666666666,0.6666666666666666,1.0,0.5555555555555556,1.0,0.5,0.6,0.9,0.5,0.9,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8333333333333334,0.8,0.6666666666666666,0.6,0.8333333333333334,0.5,0.875,0.6666666666666666,0.4,0.8571428571428571,0.8,0.75,0.75,0.6,0.5714285714285714,0.8,0.8333333333333334,0.7142857142857143,1.0,1.0,0.8,0.8,0.75,0.8888888888888888,0.0,0.8,1.0,1.0,0.7142857142857143,0.8461538461538461,0.6,0.3333333333333333,0.5,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.5,0.7777777777777778,0.8,0.75,0.8571428571428571,0.6666666666666666,0.7336126373626372
"c: 1.2; k: 0.2,0.3; y",0.6,1.0,0.5,0.7777777777777778,0.7142857142857143,0.5,0.6,0.5,0.6,0.7777777777777778,0.5,0.875,0.6666666666666666,0.6,0.75,0.8,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.5,0.8571428571428571,0.7142857142857143,0.6666666666666666,0.8333333333333334,0.5,0.7777777777777778,0.7142857142857143,0.5,0.8,0.7,0.25,0.7,0.5,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6,0.3333333333333333,0.8,0.5,0.75,0.75,0.3333333333333333,0.6,0.5714285714285714,0.6,0.5,1.0,0.8,0.8571428571428571,0.4,0.6666666666666666,0.8571428571428571,0.5,1.0,0.6,0.6,0.25,0.8888888888888888,0.5,0.4,0.5,0.5,0.42857142857142855,0.9230769230769231,1.0,0.0,0.8333333333333334,0.3333333333333333,0.8571428571428571,0.7142857142857143,0.75,0.7777777777777778,0.8,0.5,0.5714285714285714,0.6666666666666666,0.638954136141636
"c: 1.2; k: 0.2,0.3; z",1.0,0.8333333333333334,1.0,0.8888888888888888,0.8571428571428571,0.5,0.8,0.5,0.6,0.8888888888888888,1.0,0.75,1.0,0.8,0.5,0.8,0.8888888888888888,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.625,1.0,0.8571428571428571,0.8571428571428571,0.5,0.8333333333333334,0.8333333333333334,1.0,0.8571428571428571,0.5,0.8,1.0,0.5,1.0,1.0,0.5714285714285714,0.6666666666666666,0.8571428571428571,1.0,1.0,0.6666666666666666,0.2,1.0,0.5,1.0,0.6666666666666666,0.4,0.7142857142857143,0.8,0.75,1.0,0.4,0.7142857142857143,0.8,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.5714285714285714,1.0,0.8,1.0,0.8888888888888888,0.5,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.5,0.8888888888888888,1.0,0.75,1.0,0.8333333333333334,0.7992311507936506
"c: 1.2; k: 0.2,0.3; xy",0.6,1.0,0.25,0.6666666666666666,0.7142857142857143,0.25,0.6,0.5,0.6,0.7777777777777778,0.5,0.875,0.8333333333333334,0.4,1.0,0.8,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.5,0.7142857142857143,0.7857142857142857,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7777777777777778,0.7142857142857143,0.5,0.8,0.8,0.25,0.7,0.6666666666666666,0.42857142857142855,0.8333333333333334,0.42857142857142855,0.6666666666666666,0.6,0.3333333333333333,0.8,0.6666666666666666,1.0,0.875,0.3333333333333333,0.6,0.42857142857142855,0.6,0.5,0.75,0.8,0.8571428571428571,0.4,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.6,0.8,0.0,0.8888888888888888,0.0,0.4,0.5,0.5,0.42857142857142855,0.8461538461538461,1.0,0.0,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.8571428571428571,1.0,0.6666666666666666,0.8,0.5,0.42857142857142855,0.6666666666666666,0.631033272283272
"c: 1.2; k: 0.2,0.3; xz",0.8,0.6666666666666666,0.75,0.7777777777777778,0.7142857142857143,0.75,0.8,0.75,1.0,0.8888888888888888,1.0,0.625,0.8333333333333334,0.8,0.5,0.6,0.7777777777777778,0.6666666666666666,0.8571428571428571,0.8333333333333334,0.75,0.75,1.0,0.8571428571428571,0.16666666666666666,0.6666666666666666,1.0,0.5555555555555556,1.0,0.5,0.6,1.0,0.25,0.9,1.0,0.7142857142857143,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.8,0.3333333333333333,0.2,1.0,0.5,0.875,0.6666666666666666,0.4,0.8571428571428571,0.8,0.5,0.25,0.8,0.5714285714285714,0.8,0.8333333333333334,0.5714285714285714,1.0,0.5714285714285714,0.8,0.8,0.75,0.8888888888888888,0.0,0.8,1.0,1.0,0.7142857142857143,0.8461538461538461,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.5,0.7777777777777778,0.8,0.75,1.0,0.6666666666666666,0.7202495421245417
"c: 1.2; k: 0.2,0.3; yz",0.6,1.0,0.5,0.7777777777777778,0.7142857142857143,0.5,0.6,0.5,0.6,0.6666666666666666,0.5,0.875,0.6666666666666666,0.6,0.75,0.8,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.875,0.5,0.8571428571428571,0.7857142857142857,0.6666666666666666,0.8333333333333334,0.5,0.7777777777777778,0.7142857142857143,0.5,0.8,0.7,0.25,0.7,0.5,0.5714285714285714,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.6,0.3333333333333333,0.8,0.5,0.75,0.875,0.3333333333333333,0.6,0.5714285714285714,0.6,0.5,1.0,0.8,0.8571428571428571,0.4,0.6666666666666666,0.8571428571428571,0.5,1.0,0.6,0.6,0.25,0.8888888888888888,0.5,0.4,0.5,0.5,0.42857142857142855,1.0,1.0,0.0,0.8333333333333334,0.3333333333333333,0.8571428571428571,0.7142857142857143,0.75,0.7777777777777778,0.8,0.5,0.5714285714285714,0.6666666666666666,0.6407589285714285
"c: 1.2; k: 0.2,0.3; xyz",0.6,1.0,0.25,0.6666666666666666,0.7142857142857143,0.25,0.6,0.5,0.6,0.7777777777777778,0.5,0.875,0.8333333333333334,0.4,1.0,0.8,0.5555555555555556,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.5,0.7142857142857143,0.7857142857142857,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7777777777777778,0.7142857142857143,0.5,0.8,0.7,0.25,0.7,0.6666666666666666,0.42857142857142855,0.8333333333333334,0.42857142857142855,0.6666666666666666,0.6,0.3333333333333333,0.8,0.6666666666666666,1.0,0.875,0.3333333333333333,0.6,0.42857142857142855,0.6,0.5,0.75,0.8,0.8571428571428571,0.4,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.6,0.8,0.0,0.8888888888888888,0.0,0.4,0.5,0.5,0.42857142857142855,0.8461538461538461,1.0,0.0,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.8571428571428571,1.0,0.6666666666666666,0.8,0.5,0.42857142857142855,0.6666666666666666,0.6311721611721608
"c: 1.2; k: 0.3,0.4; x",0.8,0.6666666666666666,0.25,0.7777777777777778,0.7142857142857143,0.5,0.8,0.75,1.0,0.8888888888888888,1.0,0.625,0.8333333333333334,0.8,0.5,0.6,0.7777777777777778,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.75,0.75,1.0,0.8571428571428571,0.16666666666666666,0.6666666666666666,1.0,0.5555555555555556,1.0,0.5,0.6,0.9,0.5,0.9,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8333333333333334,0.8,0.6666666666666666,0.6,0.8333333333333334,0.5,0.875,0.6666666666666666,0.4,0.8571428571428571,0.8,0.75,0.75,0.6,0.5714285714285714,0.8,0.8333333333333334,0.7142857142857143,1.0,1.0,0.8,0.8,0.75,0.8888888888888888,0.0,0.8,1.0,1.0,0.7142857142857143,0.8461538461538461,0.6,0.3333333333333333,0.5,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.5,0.7777777777777778,0.8,0.75,0.8571428571428571,0.6666666666666666,0.7336126373626372
"c: 1.2; k: 0.3,0.4; y",0.6,1.0,0.5,0.7777777777777778,0.7142857142857143,0.5,0.6,0.5,0.6,0.7777777777777778,0.5,0.875,0.6666666666666666,0.6,0.75,0.8,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.5,0.8571428571428571,0.7142857142857143,0.6666666666666666,0.8333333333333334,0.5,0.7777777777777778,0.7142857142857143,0.5,0.8,0.7,0.25,0.7,0.5,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6,0.3333333333333333,0.8,0.5,0.75,0.75,0.3333333333333333,0.6,0.5714285714285714,0.6,0.5,1.0,0.8,0.8571428571428571,0.4,0.6666666666666666,0.8571428571428571,0.5,1.0,0.6,0.6,0.25,0.8888888888888888,0.5,0.4,0.5,0.5,0.42857142857142855,0.9230769230769231,1.0,0.0,0.8333333333333334,0.3333333333333333,0.8571428571428571,0.7142857142857143,0.75,0.7777777777777778,0.8,0.5,0.5714285714285714,0.6666666666666666,0.638954136141636
"c: 1.2; k: 0.3,0.4; z",1.0,0.8333333333333334,1.0,0.8888888888888888,0.8571428571428571,0.5,0.8,0.5,0.6,0.8888888888888888,1.0,0.875,1.0,0.8,0.5,0.8,0.7777777777777778,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.625,1.0,0.8571428571428571,0.8571428571428571,0.5,0.8333333333333334,0.8333333333333334,1.0,0.8571428571428571,0.5,0.8,1.0,0.5,1.0,1.0,0.5714285714285714,0.6666666666666666,0.8571428571428571,1.0,1.0,0.6666666666666666,0.2,1.0,0.5,0.875,0.6666666666666666,0.4,0.7142857142857143,0.8,0.75,1.0,0.4,0.7142857142857143,0.8,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.5714285714285714,1.0,0.8,1.0,0.8888888888888888,0.5,1.0,1.0,1.0,1.0,0.9230769230769231,0.8,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.5,0.8888888888888888,1.0,0.75,1.0,0.8333333333333334,0.796880723443223
"c: 1.2; k: 0.3,0.4; xy",0.6,1.0,0.25,0.6666666666666666,0.7142857142857143,0.25,0.6,0.5,0.6,0.7777777777777778,0.5,0.875,0.8333333333333334,0.4,1.0,0.8,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.5,0.7142857142857143,0.7857142857142857,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7777777777777778,0.7142857142857143,0.5,0.8,0.8,0.25,0.7,0.6666666666666666,0.42857142857142855,0.8333333333333334,0.42857142857142855,0.6666666666666666,0.6,0.3333333333333333,0.8,0.6666666666666666,1.0,0.875,0.3333333333333333,0.6,0.42857142857142855,0.6,0.5,0.75,0.8,0.8571428571428571,0.4,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.6,0.8,0.0,0.8888888888888888,0.0,0.4,0.5,0.5,0.42857142857142855,0.8461538461538461,1.0,0.0,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.8571428571428571,1.0,0.6666666666666666,0.8,0.5,0.42857142857142855,0.6666666666666666,0.631033272283272
"c: 1.2; k: 0.3,0.4; xz",0.8,0.6666666666666666,0.75,0.7777777777777778,0.7142857142857143,0.75,0.8,0.75,1.0,0.8888888888888888,1.0,0.625,0.8333333333333334,0.8,0.5,0.6,0.7777777777777778,0.6666666666666666,0.8571428571428571,0.8333333333333334,0.75,0.75,1.0,0.8571428571428571,0.16666666666666666,0.6666666666666666,1.0,0.5555555555555556,1.0,0.5,0.6,1.0,0.25,0.9,1.0,0.7142857142857143,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.8,0.3333333333333333,0.2,1.0,0.5,0.875,0.6666666666666666,0.4,0.8571428571428571,0.8,0.5,0.25,0.8,0.5714285714285714,0.8,0.8333333333333334,0.5714285714285714,1.0,0.5714285714285714,0.8,0.8,0.75,0.8888888888888888,0.0,0.8,1.0,1.0,0.7142857142857143,0.8461538461538461,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.5,0.7777777777777778,0.8,0.75,1.0,0.6666666666666666,0.7202495421245417
